CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
FUZ	25255	19440	19643	18482	22306	50722	52722	29069	29518	30528	10508
SLC6A13	96	163	192	71	959	1173	720	785	243	827	42253
IDS	313268	219831	222882	215979	784927	798848	806986	450650	438998	326308	44107
PRSS3	31017	23865	21694	23764	3309	10764	11396	4850	5577	6517	48766
ZNF200	14277	10672	10709	9008	18442	20967	20850	10985	13169	8176	13897
CD4	1535	861	776	971	749	822	492	229	797	939	33951
LRRC23	42446	31822	30562	31054	56548	51976	58830	33603	30715	28610	40675
BTK	0	20	96	0	0	289	192	0	183	96	41350
HFE	66707	53750	52671	53224	85678	109389	111356	63617	67726	51049	11063
SCMH1	41376	30336	30893	29489	51982	69579	72100	35788	43216	29991	214955
FYN	9676	6152	5219	6302	35647	6228	6368	2536	2920	3275	213121
HIVEP2	24097	23914	23865	18516	57580	87453	91534	50052	52415	29633	205232
FMO1	205	127	210	171	338	310	241	229	214	143	37508
ELOA	81212	57759	56253	56075	98600	139687	143049	82783	79643	68699	18905
LYPLA2	56045	41232	37915	41552	54904	76332	75397	41331	41622	39127	4570
CLCN6	53100	38286	43158	36611	107867	146230	144370	82648	79751	58998	37049
MRC2	43212	34289	35802	30630	175281	175615	173926	90685	94311	88622	66197
NME1-NME2	1063467	763332	779063	798949	1393215	1951732	1993363	1123164	1144423	1103523	18155
SLC6A7	0	0	0	0	0	0	0	10	0	0	32832
TSPAN9	35673	29577	31741	31734	67578	58317	64177	35845	33516	26692	209210
BTBD7	87795	76150	72812	67145	108779	140676	139855	76346	79205	50860	95543
APBA3	21530	14688	13371	14383	24865	31995	28344	16035	14210	16223	10881
MKS1	30496	22302	18415	21231	20604	34727	35918	21488	19713	17149	14169
ABHD5	18422	12564	11656	12770	27825	39351	41692	23136	24686	18619	44259
ANOS1	238	0	192	192	0	285	97	96	288	0	203313
AKAP8L	62117	45736	46217	44602	115276	112783	118522	71882	68862	60447	39094
MBTD1	43765	31159	30058	31538	58516	85651	88071	49630	51941	35360	82739
UTP18	107535	79067	80866	83409	151558	170109	174709	100027	105168	91389	37409
RNF216	121941	93415	95764	89481	162067	215433	218016	119020	116577	97673	161693
TTC19	129909	82570	77179	87098	145009	219382	222016	132626	140978	111148	45636
PTBP1	561411	423535	424118	403583	553643	758055	773816	425769	449446	363242	15253
DPF1	2521	2185	2765	2343	1673	1530	960	1118	1080	727	18709
SYT7	3029	3514	2816	2592	3758	3220	2715	2060	2203	1694	65836
LARS2	49299	44186	43568	39952	36154	51862	54188	29484	29195	23586	160916
PIK3C2A	267143	195401	187738	175281	236868	384820	380564	214967	217528	133152	130254
PLAUR	179682	130486	120386	126518	88866	123492	115911	55600	54546	52123	24453
ANLN	129211	105961	117957	97858	28844	54023	55005	21633	24066	21584	63986
WIZ	86089	62500	61611	61107	86194	106657	108023	57066	57467	61511	29972
RABGAP1	103556	81163	80111	81389	161362	216643	216465	119833	130447	93431	164034
DCN	96	96	191	0	192	0	0	0	0	0	42640
QPCTL	51787	38939	36859	38293	42475	60215	56667	33730	28610	33068	11507
PPP5C	118213	103129	107658	91497	133739	193050	204612	109775	114245	98488	45988
CEP68	23192	17774	18719	13462	43487	53208	61785	34739	39061	25550	30639
MAP4K3	96804	65182	70055	69092	119768	166221	168846	94015	93232	66437	188047
ZBTB32	1649	1174	1811	1844	2024	1938	3027	1191	1234	690	12512
TYROBP	0	0	96	96	0	0	3	0	0	0	3895
TMEM159	15769	10135	12235	9709	31462	26293	26082	13924	13319	13303	22240
GABRA3	0	0	96	0	11987	0	0	0	55	0	285125
BRCA1	94880	80719	83236	71113	50291	53535	51533	29160	26127	22028	125951
ERCC1	149674	102625	109200	96085	181096	227630	231314	123733	117877	125889	71496
CD22	6248	4927	5061	5710	22935	24877	22487	14951	13534	11333	28095
SEMA3B	158524	120631	118061	122103	47747	137976	134736	67735	65388	65627	9989
MBTPS2	196079	133746	139301	140701	222357	347783	346374	194533	192687	148893	45789
PRICKLE3	28481	21290	21882	24341	59015	55764	54056	30560	26803	25067	11265
LTF	0	0	96	95	0	0	0	0	0	8	49590
EXTL3	75366	54071	61417	55492	121795	156093	161898	85840	88884	61693	155131
NR1H4	14952	14045	11759	15368	5507	26361	28118	13216	14491	11858	90706
ELOVL5	270283	190168	187229	203866	300195	409539	429474	246353	249660	179267	81782
ALOX5	2925	2295	2037	2192	27974	4275	4684	1701	1959	1941	71944
KDM5D	49415	44355	42099	37745	105693	2768	1664	1368	1183	553	41075
CALCOCO1	99037	57641	61130	70856	152121	202391	204489	111329	121776	88960	19229
UBR7	54120	47326	44191	47730	41574	63547	65498	38329	41097	30370	22160
MAP4K5	99245	67235	65876	65207	112218	152322	154550	84970	86128	62448	142626
EHD3	37367	27296	29472	26636	36095	37193	35999	22249	23501	18526	35111
PSMC4	872956	648997	642513	594334	401477	601868	597660	324360	331902	335061	10437
MAN2B2	61469	58262	56873	52666	57978	90947	93902	50939	55312	43308	48188
SLC7A14	14	0	0	0	21	96	48	20	0	0	126491
CLDN11	959	422	192	192	432	442	670	0	527	37	441516
SLC25A39	240218	175750	178493	164764	267177	398509	392514	209507	202236	218141	5246
MVP	499907	468441	455835	422075	592319	769868	774921	432490	422411	414723	27646
NUB1	185714	124263	122521	134477	155575	222811	219488	121672	130922	102828	36751
PGM3	214957	119250	120189	132474	100455	142834	147243	81115	85713	65169	32787
RWDD2A	27205	14045	18196	18410	11005	16181	18694	8897	9464	7718	5554
CLK1	58339	35998	36378	39323	69291	111606	107190	58485	62287	47183	11736
POLR3B	33308	26581	27166	23712	26636	30902	34650	17661	16870	15136	152541
ANGEL1	44410	31927	32219	33564	81967	95703	101814	59062	57312	42781	40069
RNF14	135802	83143	86967	92405	157920	235654	225950	134271	135354	104753	31964
DNASE1L1	63207	53090	52101	49901	64187	89544	90563	47616	47968	44845	10875
DDX11	78478	69534	67698	57599	110880	100911	92399	58217	53255	43458	30947
HEBP1	57787	43183	43043	48464	139220	213248	209516	118992	129739	105954	25410
GPRC5A	1041284	880222	853865	776811	245663	303548	310559	154566	155291	117047	27156
MAMLD1	13311	11138	12058	9083	22917	22994	21246	12003	12374	8868	152757
CD6	192	240	94	0	178	0	118	96	0	96	48698
TACC3	91187	70462	73371	71716	47645	47100	47847	24030	26077	26321	23687
UFL1	96997	58958	60363	64048	56768	97311	101387	55595	57532	39537	33682
POLA2	41246	36691	35427	30370	13233	17986	18520	8202	8314	9101	43828
ZC3H3	57361	44610	44449	39029	80341	88015	89503	45853	51294	46845	103799
CAPN1	413098	325441	316893	311246	363539	435452	426588	230726	230769	222456	31441
ACPP	672	192	912	957	288	96	288	48	144	0	50932
MDH1	269593	187638	180161	203263	253191	340427	358303	200014	197436	179399	18589
SLC30A9	128806	88329	87639	88402	113165	176989	183002	107612	109016	78682	99986
MTMR11	50943	37327	34265	35512	18922	37190	32216	19369	20382	15725	8219
COX15	152363	121075	116038	110616	122666	194098	206082	111542	107736	78207	20257
CCDC88C	37998	32572	34421	30380	42651	58866	58537	32688	34858	25866	146522
YAF2	47374	29552	32339	35694	47667	41415	45901	25335	27123	21925	81246
ZMYND11	174340	127457	122027	121436	247084	331430	359148	200022	196102	139789	120173
WAS	938	292	1134	717	1775	2818	3226	1689	2723	1281	14832
DPEP1	3879	1140	1848	2138	1230	1676	1102	768	432	866	25149
BID	42196	35612	36106	33710	93038	93598	96500	57814	56084	45315	40633
NPC1L1	336	480	439	0	1364	1584	1854	790	1196	1147	28781
XYLT2	55023	45948	43393	45327	97436	131352	126004	71292	74232	67695	17047
RGPD5	31014	19148	19321	19712	33813	41616	47558	24633	27030	18320	64938
STMN4	0	0	0	0	23	0	0	0	93	0	23098
NUDCD3	163322	139555	138230	126092	174021	259554	255176	140157	142539	109249	111760
ISL1	0	96	0	96	192	96	0	139	96	20	11348
CHDH	28558	26059	27738	22159	27877	54098	52845	32362	33931	30535	34056
IL20RA	335	22	2	96	192	0	118	0	0	28	45210
CLCA1	0	0	0	0	0	0	32	0	0	0	31922
CLCA4	480	0	0	383	0	0	0	0	0	0	33677
GLT8D1	80375	48118	51930	50239	60394	89981	92237	49044	52669	43442	11545
ATP2C1	193312	150265	153238	152006	255968	383079	385106	222139	220792	152511	166118
IGF1	0	0	0	96	0	0	30	0	81	12	84779
SLC38A5	1049	83	96	959	205	192	610	96	159	225	11720
