CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
ZFYVE1	44071	35304	35777	32635	63683	92669	90289	50306	54488	40736	57762
C10ORF82	365	191	192	189	271	168	96	0	335	0	6569
HSPA12A	52248	39344	38481	35337	75679	103438	102086	56386	54212	40638	178550
FRAT1	9142	8100	7531	8966	16464	20553	23401	12701	10780	10790	2649
UBTD1	24368	16143	15225	16105	42663	42937	42073	23943	21652	22728	72342
ANKRD2	483	48	189	359	288	181	75	96	96	192	11386
E2F7	23944	21921	22262	17529	6371	6500	5485	2579	3176	2537	44334
ARHGAP42	66204	40724	39719	40650	83660	63095	65393	35929	39769	25311	304285
ISCA2	35058	22544	21235	24576	41406	62400	66989	36508	40277	37082	3387
OTOGL	0	96	0	0	0	96	0	0	0	0	169638
LARGE2	2766	1662	1773	1799	7538	6256	6104	3652	2696	2638	7476
PACSIN3	33612	24119	20213	22240	28365	37145	36013	21839	21021	21604	8919
TTC7B	25269	19129	19361	18326	44953	52351	56674	27314	30094	27986	291916
SLC39A13	65149	45395	44020	44668	70245	115051	115490	61087	58509	59200	9370
PSMC3	175478	140920	140770	133871	143997	178086	178411	114980	108460	96653	7705
RAPSN	176	143	152	139	1307	884	745	716	971	271	11422
AGBL2	2294	2076	1867	2466	7752	8917	8663	3692	3560	4060	55799
TC2N	337921	249853	255665	252824	93709	187332	191636	114519	105020	86252	87786
CPSF2	195946	136916	137260	144876	202463	272741	282995	169665	161132	122759	50209
SMCO2	26	0	0	0	239	352	306	201	429	78	35376
MOAP1	42309	34995	34675	36108	57779	102282	107635	59803	59529	47539	2733
IFI27L1	12055	10712	10732	12632	9088	15631	13406	8046	7178	7834	22565
IFI27	370	336	48	4695	1025	970	1322	318	868	477	11863
SERPINA12	48	0	0	0	0	0	0	0	0	0	30571
CLMN	99090	82074	86382	70494	126366	172782	171556	93918	96827	63083	137967
PDZRN4	0	44	0	0	0	0	0	21	0	0	386143
SLC6A5	25	0	95	0	0	0	0	40	42	0	59886
CCDC38	455	267	882	331	410	705	967	449	514	624	75927
NELL1	194	27	116	0	117	0	0	0	0	0	906131
PTER	30697	23553	25942	23622	38707	66844	64853	38836	35331	28832	76803
C1QL3	1796	972	1818	1805	2029	4197	3436	1317	1974	1756	8263
CACNB2	2454	3043	2432	2305	1136	3757	2622	2285	1493	1192	401193
HACD1	41392	26269	29147	28625	54448	105909	107512	64807	61606	54659	28346
ARL5B	160358	106004	105921	110694	125895	166509	172713	99454	107179	71688	22235
SMCO4	13781	8719	9207	11711	14880	26860	26193	14350	14640	13502	65037
CEP295	34376	27699	27808	23821	27538	40967	38775	24703	23483	19183	68720
KCNC2	283	384	322	96	96	0	20	0	39	0	169792
TAF1D	107812	63523	67455	79005	154590	188875	193601	119077	118073	96045	54444
ABTB2	52477	44236	40987	34381	73172	93399	85332	51741	49161	42071	207021
R3HCC1L	35143	25642	25995	23510	41812	61167	64742	36081	36610	27846	110274
AMOTL1	142921	131976	130862	109362	151718	324730	324496	176572	168025	118931	170323
HTRA1	70457	56044	57685	62430	74378	131781	132727	70277	71328	61607	53384
LIPC	96	48	0	0	48	0	0	0	0	45	159275
CEP57	87754	58643	57265	58690	80411	98655	101839	59101	55089	45741	42729
TCP11L2	40107	33828	32094	28423	68274	82768	86616	46665	47645	32433	45087
PASD1	0	0	0	0	0	0	0	0	0	20	113118
SPRED1	92565	68727	68732	67278	87392	105895	113390	63780	69218	49674	104924
TMCO5A	0	0	0	0	0	0	0	0	20	0	45786
GPR176	1362	1441	1294	1344	4685	8287	7824	6106	7099	3676	121861
JAM3	2689	2310	3754	2903	2396	576	1035	336	96	93	83077
IL25	0	0	0	0	0	25	0	0	0	21	3595
CMTM5	0	0	0	0	0	22	0	0	0	20	2965
GLB1L3	672	259	528	92	266	192	317	0	0	48	45320
ADAMTS15	3313	2841	2730	2827	2604	7623	8503	4024	4360	3477	27668
SVOP	144	0	0	48	0	0	70	0	0	0	113500
SPATA19	0	0	0	0	0	0	0	0	0	0	4908
GPT2	129183	99463	101811	100834	78630	117814	116819	63960	62470	54068	46920
AMN	56757	39801	36239	37906	59841	82952	77795	39483	44707	40979	10941
RAB8B	61174	35627	39846	41861	59019	100807	97500	56830	56302	39068	78314
IKBIP	131258	80771	83080	89874	107756	121117	124910	73458	66250	63371	31709
RPUSD2	16141	11450	13469	13778	15702	23824	21857	13163	12756	10820	5644
HIF1AN	161992	130417	125206	125615	187914	289636	287396	167108	169000	124971	30927
NDUFB8	132686	112080	108798	105155	132257	173540	174604	100338	104610	90043	6261
ZFYVE19	38802	32500	27626	28895	32894	60764	68283	31500	32911	27442	7999
PPP1R14D	4745	3726	4418	4089	0	1983	1360	576	630	808	13265
SPINT1	11477	5402	5036	7137	2068	3639	5103	1631	1898	1653	14190
FBN1	72143	72109	75802	64824	72053	93786	108706	54589	53962	33097	237544
AVPR1A	865	191	385	287	672	815	959	192	383	912	8184
C16ORF78	0	0	0	0	0	0	0	0	0	0	25609
DEPDC4	2248	2226	2209	1407	1149	1700	2073	1484	582	1001	63411
LRTM2	0	0	0	0	0	0	0	0	0	0	16486
OPN1MW2	0	0	0	0	0	0	48	0	0	0	13531
BRD7	106040	74865	75631	75983	157012	170220	185006	100383	106692	87168	55448
CKB	89051	66773	73888	62075	77597	62313	65475	34643	32604	31843	3453
TRMT61A	74837	56777	59665	52659	82205	94076	93230	50813	50026	53174	7890
BTRC	58595	45098	44415	44446	78137	108258	111681	65309	65341	44891	203289
POLL	63478	40426	42470	44371	73623	100887	95910	53444	53344	48946	9389
BAG5	102889	81353	74127	67943	112560	162948	169439	98062	102758	75852	6288
DPCD	23664	16993	14848	16446	26632	27718	26043	16625	15900	14092	39109
LARP6	90886	45993	48460	55297	230371	226470	225455	127675	127453	115457	25030
API5	192411	147248	146982	145172	177631	245240	259270	146745	148631	117729	32567
ASPG	192	0	0	0	0	0	96	48	68	96	29903
ZNF319	37130	33844	27583	29401	100606	102562	103587	58686	62769	55535	5786
HPS6	44021	36301	33414	31517	64312	70388	68206	38170	38653	38627	2649
SENP8	7569	5165	4991	6195	5831	14730	13184	7203	6249	6965	29431
NOLC1	411629	276207	283546	276486	307926	437430	434708	242811	257327	201052	11696
ALKBH3	43633	27992	27176	28888	51869	70369	71107	38979	40424	35230	39456
COPS2	123884	81157	82078	89798	98112	151605	153045	85873	92346	69634	49594
GABRB3	613087	479357	473238	460370	289226	933996	939195	496592	499633	362061	395994
SPIC	0	0	0	0	0	0	0	0	0	0	11577
TBATA	0	0	0	0	0	0	0	0	0	0	14163
SGPL1	166503	132025	131004	120665	254106	344596	357841	199514	201926	163143	65213
FRS2	44100	31455	37818	30421	50941	55338	60406	34091	33209	21632	109441
CCT2	390092	268451	289692	297768	455127	480634	473007	275876	282459	235927	16237
PCBD1	156486	115115	118002	119533	208924	252376	251673	142504	152965	131923	6505
ARIH1	249695	187553	191679	181386	262269	366178	369086	216484	214100	154564	128660
C16ORF71	4369	2019	3033	2523	4913	8337	7836	5329	5331	3801	15125
CLMP	12434	7931	8533	8833	16161	23807	22128	11011	12825	10719	125417
SCN3B	2290	960	1534	1819	10826	10512	10545	7083	5834	3401	26058
COX11	135574	103155	100239	101734	145562	194762	197298	119189	116621	100327	16884
ZNF202	26198	16673	17857	18782	37772	47434	52026	27679	28213	23590	17499
FAM227B	20610	12817	13356	12380	16941	25998	21244	14336	17561	15337	293970
STXBP4	36273	31743	35019	26047	39440	68612	63847	37876	37641	28831	204906
CYYR1	0	0	0	0	48	0	0	96	0	0	107076
CUL5	75530	51204	50212	51239	80851	121998	118535	70663	64579	49688	99044
MYRFL	291	191	0	96	1840	2618	2084	1684	2448	753	133794
WBP1L	81059	66767	64563	67065	114721	164081	173812	88937	99131	75453	72298
BORCS7	56926	32209	31753	44172	55729	83398	83957	50014	50044	40971	10739
C2	2015	1484	1707	1785	4855	6699	7057	3700	2955	2849	47888
PLEKHF1	1408	1306	1296	1126	5872	7717	5643	4267	3786	4273	10402
TMEM100	0	0	20	0	96	0	96	0	0	0	12495
ANAPC16	191757	125332	125994	133531	209742	334646	330556	191577	203373	171366	19861
SMPD1	75081	50867	55098	53803	47628	116885	113815	62088	63091	57805	4568
APBB1	39434	28943	29616	26803	50032	92768	90367	57778	50715	47397	24291
SYNPO2L	0	0	0	96	0	0	0	0	96	0	18923
NUDT13	8096	6463	6860	7328	10865	12977	16131	9384	9369	5400	21454
C11ORF65	3391	2036	1900	1583	2135	3310	3245	2550	1984	1560	159013
TRIM44	260040	199930	196631	195756	360471	531499	548713	305631	313132	216630	155203
CCDC182	0	0	0	0	0	0	0	0	0	0	832
ILK	137179	96582	93590	94870	164377	179256	181249	102397	109033	88117	7167
TAF10	248245	171247	170779	174879	290821	335436	331342	180258	186732	179494	6372
TPP1	396163	287046	288066	298259	761515	1277096	1319891	747900	770155	524262	6699
DCHS1	1301	765	960	1255	2047	2417	2292	1170	1481	1008	34532
NETO1	96	32	0	0	96	0	0	55	0	0	125833
MSS51	419	810	288	951	1809	2918	2531	1017	963	1749	9983
CYB5A	40566	34577	35225	30777	21310	46843	47000	22905	23876	21069	41170
USP54	65492	48951	48567	44298	80924	104197	109574	57874	60995	42905	128416
RAG1	671	255	384	576	717	1248	1557	716	384	815	82448
POTED	0	0	0	0	0	0	0	0	0	0	31728
C11ORF74	18326	12979	12320	10645	23258	27454	27464	17935	17285	14456	64798
WDR88	1708	1775	1442	1672	1604	3815	3870	2025	2017	1610	43706
OR10A5	0	0	0	0	0	0	0	0	0	0	1054
OR2D2	0	0	0	0	0	0	0	0	0	0	1110
ATP9B	71016	53996	54342	45358	94387	84274	85575	40931	43701	39305	308999
PPFIBP2	101571	75821	69714	69684	95937	123025	117527	63806	63831	53691	143830
MOGAT2	94	0	0	0	0	0	0	0	48	0	15140
CYB5R2	6631	4925	3905	4080	7014	4967	4618	2493	2798	2868	12123
SERPINB7	4651	2012	2202	2245	361	96	480	142	0	0	52442
KIAA0355	86411	69083	68490	56312	144071	177542	177542	97969	103466	71555	101050
SERPINB8	51835	28315	26123	30248	66632	71026	73316	36083	36286	27677	49855
TUB	37052	26189	31678	25103	48251	62146	63839	32141	31581	25360	86869
RIC3	14069	8809	9855	8640	9502	21205	24527	11902	11112	10280	62963
LMO1	468	0	390	288	1082	1102	1314	1327	431	720	44413
IDH3A	152745	118770	123948	117144	187002	260018	269417	149537	162715	126945	40452
WDR72	89282	72772	69496	75621	104920	194500	202810	102806	109622	82792	249138
CRABP1	7635	5198	5030	4265	15995	18752	16712	12895	10560	10880	7907
PLD4	66277	49391	48666	51938	75944	57026	57142	33872	32441	33939	12975
ZMAT1	1494	1102	1294	1437	4999	12737	13340	6897	6646	4221	49744
XRRA1	77264	46036	49339	46721	52902	80258	84700	48086	48323	40912	141462
TRIM66	46267	36335	37286	34560	38934	90700	87432	46898	46351	34095	59830
RNF169	52184	41484	43424	35238	56571	72093	80759	41410	43728	33681	93546
RPL27A	451477	287005	289970	308064	709630	1052409	1053247	601157	608741	548638	32349
ST5	21046	18514	18935	17408	30395	41987	43293	21869	22605	17951	217601
CDYL2	1908	1283	1178	764	2590	1991	2271	1197	672	575	206424
TMEM130	1338	939	1379	1629	5186	1828	1776	754	533	434	24284
PRTG	15660	14675	14044	12608	33050	49456	47251	29521	30430	18047	131545
CENPN	63106	52204	47237	49130	33659	47202	47066	23400	26478	28021	26617
AKIP1	61111	43949	40139	46023	56401	70593	69818	38355	39853	35393	8946
ATMIN	149327	104828	105708	102565	163771	223570	237227	127831	128154	106140	11512
C16ORF46	4293	3430	3568	2857	10610	12418	10456	6498	5794	5146	23771
TMEM41B	302416	150173	163623	184910	379940	386794	389165	214591	223606	185934	34127
LEO1	126876	91087	91057	94409	80094	106437	104708	61234	60548	50521	33782
ZNF143	22159	19808	21087	18601	28554	37106	37480	22291	23836	16561	68206
TMX3	111419	66661	68630	75502	136954	182601	189488	103611	107173	78136	41611
MFAP4	1348	2035	1064	1201	2822	3409	5079	1580	1952	1532	3799
WEE1	28544	23302	23326	17586	23602	31012	32102	15097	16237	13122	19777
MAPK7	33941	26712	27391	24504	32009	47837	49397	25946	26966	22798	5824
PRKCB	302	96	192	122	192	141	240	48	147	259	384611
HDGFL3	99728	67680	62186	72152	157242	163377	166855	96935	100025	79994	95281
NDST2	43617	32546	33417	28652	48284	64187	72283	39573	38542	27270	9888
MCM7	193360	187510	188439	161258	125003	169937	157880	89386	91814	79227	9213
CLEC3A	0	0	0	0	0	0	0	0	0	0	44247
CCDC68	183472	110943	113134	128127	48226	91403	97350	61550	59370	40904	58000
CLEC4E	370	188	275	382	1319	2726	2117	1856	2248	1436	7659
ZNF3	68502	46782	41676	45687	56633	77812	78480	43385	45100	37527	18516
CLEC4D	0	0	0	0	0	0	0	0	0	0	12892
ZSCAN21	19050	15947	12613	13412	23178	36723	32716	16806	19238	15393	15265
RIMKLB	500425	315663	310741	351893	107804	530447	539749	250151	259679	198996	101496
A2ML1	1529	96	96	604	7	107	75	82	130	48	64530
BEAN1	1784	1600	1755	1392	5826	6096	4925	3480	2547	2347	66233
TK2	81513	62772	63894	62416	84281	131360	128064	70882	72645	63058	44542
TMED3	376983	276183	266858	267877	359850	544507	552143	296895	303091	273247	116371
SLC38A8	0	23	109	0	0	20	0	7	20	0	32970
SEC11C	157090	89083	94908	104256	222672	359889	369359	196500	204181	179952	19360
CPLX4	0	0	0	0	0	98	0	0	0	0	43494
GALR1	0	0	21	0	20	46	49	0	86	0	27348
TMEM135	81138	58045	58705	57992	111345	157243	153676	93426	93325	73958	285915
IQCD	4115	3218	3176	3045	5039	4568	4527	1513	2058	1860	25654
NDEL1	136817	93221	89474	94481	132738	163745	168482	91331	93315	77637	77281
CENPV	92277	64665	66000	68588	57894	90184	94919	47384	50041	49246	11123
CDH16	795	1229	1248	767	384	1535	957	647	670	384	10863
RRAD	959	336	192	288	792	1256	717	405	579	425	3966
FAM96B	103356	74316	76018	72991	112050	140097	142904	80058	77480	78329	2369
CFAP52	275	217	290	366	684	859	686	577	358	459	66833
HSP90B1	7049274	3425060	3510450	4215798	14078535	17028294	17347878	9218739	9373389	8202955	23539
MC4R	0	0	0	0	85	0	190	192	96	192	1666
BLCAP	98871	67358	70748	69346	108766	148114	143138	88678	85881	73825	35460
SERPINB12	96	0	0	192	0	0	0	0	0	0	10852
CHRFAM7A	4707	3021	5407	3741	8280	7561	5781	4788	2691	2776	36084
ATF7IP2	34667	21972	22451	24426	20671	34001	38234	20572	20348	17376	157205
MMP10	288	96	0	288	176	192	407	48	96	48	10126
TVP23A	14130	9804	7476	9825	18279	19795	20512	10522	10550	9324	57876
BEX3	177739	121985	127351	133746	228406	222118	234110	138911	141747	127509	1738
TMPRSS5	333	372	578	269	193	336	369	214	134	237	18824
COG1	97248	65735	64452	66083	103504	157527	150076	86082	89073	77555	15876
PLEKHA7	35151	29193	33881	26641	31993	44035	48872	25012	27922	20534	237127
ZNF606	18242	11376	13218	13040	18861	28762	26891	14463	16145	13155	26297
ZCCHC18	21	192	192	0	335	96	0	192	192	0	3716
B2M	451566	317659	322948	393491	619860	1085383	1097004	630641	629190	505620	7401
ZNF592	178094	142139	146953	130587	179306	245390	240443	137320	131165	103161	57798
CASC4	272603	189752	184489	200966	303014	431164	439405	251605	254675	192715	127030
HTR3A	529	382	624	695	0	479	334	496	479	96	15433
NNMT	279617	176764	175703	197064	106973	269270	262042	145865	146142	130304	55499
ACSM1	0	0	0	0	0	0	44	0	0	0	75654
AP1G1	291177	234176	233314	208147	248461	367526	377795	200717	202215	151449	80202
SLFN5	161354	87184	89393	103958	562222	778205	788223	434344	427715	290719	30620
CATSPER2	5870	4698	6126	4226	5916	9650	11246	5185	5621	4918	39616
C16ORF45	61214	47444	41303	41351	120638	122165	119157	67891	64716	53101	190734
MARF1	146936	120905	125445	107866	198607	320911	325815	173238	173370	130280	48781
SAAL1	40366	28952	29544	26378	34265	41743	44423	26289	25871	18982	36157
YPEL4	576	913	334	336	1363	997	1775	298	983	288	4858
PPIB	1816956	1063395	1051271	1178229	2353301	3142877	3145054	1647128	1637787	1622412	7394
LDHC	223	11	312	159	64	64	82	49	3	69	39752
FAM96A	104328	66037	74729	79617	114760	154121	157372	89633	94472	90150	21460
LDHAL6A	602	1312	591	773	1105	2365	2479	1122	1030	603	23777
FAM111A	41839	37413	37467	32902	62082	77564	79490	44061	44349	30516	12292
PCLAF	103087	85763	82931	85283	10815	25651	25944	13510	14267	12490	23377
KIF7	14989	14443	14800	14206	23490	15992	15892	10497	10189	8479	46663
LDHD	8603	5937	5500	5850	3375	5512	6977	3708	3885	4066	4912
PLIN1	1141	477	465	444	648	1290	1297	719	1101	575	15063
PEX11A	23502	14824	15078	13489	28790	48831	50186	33080	29722	21326	13020
TMEM170A	80468	52053	53768	62298	72461	104593	103515	58574	62985	48516	22444
MESP1	15456	11230	9703	9914	12598	21893	20532	11135	10325	11959	2650
ANPEP	99078	85895	85616	81707	70213	214548	211685	95736	103078	102426	30513
SCNN1G	192	0	0	0	0	0	0	0	65	0	34169
RBPMS2	3164	3737	3046	2647	22957	14574	15563	8782	7677	8716	35696
NAV2	105746	64437	61791	58837	51870	52805	53288	26340	28026	23744	770875
ANKDD1A	8038	4348	4447	4895	15708	22489	21093	10949	9613	9380	46799
GLYATL1	13	34	0	0	109	13	26	96	13	0	138130
C18ORF54	7755	6135	6296	6034	5360	5601	6154	3018	2464	2497	27302
DCTN5	176154	139945	137906	139194	180189	288419	303667	158720	168752	128503	36064
TERF2IP	115235	74007	75304	76776	114203	164047	175304	101119	98639	89683	114087
PLK1	122573	98989	99104	97854	28500	38104	38928	17106	15624	20513	12712
CLPX	155293	107812	112084	119409	153193	226057	238001	136327	134351	98774	37124
GPR182	288	96	96	96	0	96	768	144	0	144	3996
ZBTB39	31349	24718	28017	26586	47837	56586	55415	28709	31927	20306	7613
CACNG2	30	0	0	0	48	0	31	0	14	0	139638
TAC3	1169	588	599	1042	96	579	429	384	102	137	18884
MYO1A	9648	8725	5292	6252	328	1534	862	338	433	623	22682
CHP2	0	0	0	0	25	0	0	0	0	0	4325
NEMP1	68586	64460	60604	52402	86078	106014	106912	62395	65646	40653	32421
OR4D6	0	0	0	0	0	0	0	0	0	0	1054
NAB2	28401	21153	23649	22234	28855	40125	42418	22090	22074	19983	6583
VPS39	119030	92716	97961	87536	138601	195850	194144	106550	104949	85534	49616
STAT6	315472	248741	236194	227671	445970	415138	428965	236742	240176	185030	36732
PATL1	167651	119170	128466	116472	227167	260067	256174	142919	142264	106968	32265
ATP23	6540	5486	5426	5401	7464	7229	6681	4861	3712	4415	15729
ELFN2	15507	19229	19916	14225	21387	20848	15577	8721	11235	9215	59511
STX3	101513	80198	71233	70955	142328	198920	210760	111886	110251	85077	92427
MRPL16	50371	38065	37764	36137	36385	63290	66416	37166	38939	31484	4738
PIP4K2C	149039	109236	107185	102064	201351	258617	258181	148849	152870	112004	12245
MTMR10	85946	65774	68661	60508	87436	133308	131188	77159	76390	57670	52667
YWHAB	710706	479348	494906	509289	587786	773946	779091	422438	443374	362965	22857
C15ORF48	1808	1626	959	2577	5516	7091	8495	5206	3927	3508	18233
SCG5	11965	6801	5809	7786	39933	38308	46009	26345	26374	19249	55423
GREM1	14141	8637	9853	11588	179324	149696	150701	85030	80004	52624	27134
NYAP1	1353	659	597	796	1407	3144	2022	548	785	1127	10873
TSC22D4	59227	43503	44434	42955	95592	119416	116055	64129	65918	66946	15921
MS4A6E	0	0	0	0	0	0	0	0	20	0	61766
MS4A7	0	0	0	0	0	0	0	0	0	0	17470
MS4A14	0	0	0	0	0	20	0	0	20	0	39227
MS4A5	0	0	0	0	0	21	0	0	0	0	25626
DIS3L	146638	112087	107048	101498	172218	221124	233275	136963	135270	104276	40682
CCNDBP1	49832	32129	29838	34656	70408	106876	110744	59571	64965	49005	12059
EPB42	1020	584	288	525	294	565	534	705	1341	1005	115059
TGM6	0	0	45	0	0	0	0	0	0	0	51846
SMAD3	179055	142576	147128	131991	710490	547696	535722	315477	326186	222179	131433
MS4A8	0	0	120	0	0	0	0	0	0	0	16238
CCDC178	0	26	0	0	0	0	0	0	0	0	503700
MS4A15	0	0	0	0	0	0	0	0	25	0	19780
MAP1A	3596	4502	5315	4552	2208	2420	3251	1392	1248	1532	20663
RCCD1	79597	64466	63689	59876	59691	89540	93964	53089	52201	50579	8256
AKTIP	57831	34437	33587	36394	63017	90807	92096	52322	51892	41776	13372
MAPRE2	47076	40130	37622	34259	87243	85069	81807	49484	48156	36239	166543
EVA1C	33957	30561	29067	27555	13010	70150	73442	36189	41033	35643	103392
TCP10L2	0	0	0	0	0	0	0	0	0	0	50500
MARS	874029	573844	574290	578204	1100580	1038454	1062775	607930	617028	506591	42125
MBD6	195927	136882	133922	119594	206968	196781	186813	101487	93346	85823	9439
CNPY4	13690	11770	10673	12990	10164	14490	15398	9045	8389	5723	5899
PDIA3	1032438	571640	573470	660572	1529893	2471094	2502281	1351299	1383932	1191755	26888
NUDT21	179299	119834	120502	119384	145025	228225	226138	129162	137018	102066	23067
NAT16	30	0	48	0	383	614	565	104	192	0	9784
TERB2	0	0	0	0	0	0	0	0	0	0	22528
NKX3-1	11182	7424	7722	8192	14545	26089	23860	14995	15693	10977	4235
SGSM1	11568	9952	8972	7335	11746	19659	18051	10568	10412	6527	121410
DUSP18	9723	7454	7137	7201	13312	15707	17052	9540	8804	6941	15840
TEF	9066	8924	8007	7093	18467	18835	19116	11821	10795	10486	31994
MEI1	282	191	26	149	311	144	235	0	37	96	99958
B4GALNT2	660	282	239	288	527	1872	2305	1238	548	619	44381
PBX3	16992	15141	15645	12519	25970	21998	18841	12650	12584	9838	220033
GNGT2	96	0	0	0	0	0	0	0	0	0	7784
PHB	304939	239608	233982	232156	350696	463528	467789	268349	265734	239628	10857
SNRPD1	89711	61940	63696	62036	59025	91743	94304	53223	54915	44064	21258
TTC16	572	71	235	153	420	693	241	429	166	99	15535
SUN5	0	0	0	0	0	0	0	0	0	0	20661
SAMD14	15129	12112	11699	11246	11647	19763	19105	11560	10412	13107	19843
PIP5KL1	1390	432	620	1194	2035	2365	2845	767	1621	1333	9919
BPIFB6	0	0	0	0	0	0	0	0	0	0	12400
TMEM92	56616	47367	46583	42259	86669	160054	154650	86015	90977	79644	10080
FAM102A	258504	184965	182717	186480	629267	669347	663512	341363	340788	328378	39935
ACSF2	16799	10050	11664	10483	13438	19064	19278	12360	13073	8970	48688
GOLGA2	263726	169622	169179	178726	168389	264866	253285	143032	150159	118468	20167
TRUB2	122830	96922	96011	90872	130093	201458	193610	119840	121159	109482	17582
COQ4	83418	61711	64140	61450	76408	122317	120999	68102	72047	71141	11537
SLC27A4	76618	67527	62451	58694	92234	127371	136882	70438	74802	61628	20825
URM1	132910	90804	92485	92358	137095	181109	175135	92938	96901	90671	20698
CERCAM	47143	32341	32972	31484	74660	87089	78844	44890	45086	46021	25601
DOLPP1	75370	57693	50284	51693	46049	66331	62140	35001	35279	32547	9339
CCDC103	26929	19401	19285	20838	31396	47142	45019	25979	26474	22276	6249
ENDOG	39679	29012	34114	30321	41037	45176	47967	27289	26604	27635	4204
TBC1D21	0	0	0	0	0	0	0	0	0	0	15607
PRRX2	1100	1650	860	768	6727	1244	1181	252	458	1635	57034
UGT1A6	631412	513937	529219	532051	1131	18610	17860	8023	8788	8097	81694
C15ORF39	94105	73541	75397	71947	168628	175008	172369	92640	94996	88685	16527
ISLR2	0	43	48	58	48	184	192	237	96	96	38230
SP2	49965	38545	36868	36439	70818	88256	89655	45632	45206	37202	32808
PRR15L	983	757	1484	507	192	816	478	225	384	384	5912
COQ7	40560	30522	30304	30785	33135	57463	59280	29440	32058	26261	12497
GPRC5B	4883	3821	4492	3355	34980	13668	12976	6313	8553	7984	29477
CRK	209699	150023	157499	149147	289223	363445	358591	213890	211646	163400	42474
C16ORF92	3	0	96	0	90	144	0	0	48	0	4403
GOLGA6C	44	0	0	0	96	236	184	143	0	0	11601
FBXO22	128825	98194	96394	96121	153000	218990	209694	123037	127978	101466	38652
TBC1D2B	50509	52365	49949	40793	56331	89040	91115	50933	45867	33789	93689
NOD2	384	0	0	192	80	96	192	0	164	191	40439
SNX20	48	96	0	0	0	96	0	0	0	192	15054
LOXHD1	0	0	0	73	96	0	0	0	0	0	180062
KATNAL2	5889	3913	4684	4267	12507	18716	19065	10325	11102	10678	184752
HDHD2	34480	24949	26115	23433	32499	45921	51148	32247	24816	24049	43118
ZNF91	1838	2249	2346	2571	1091	562	362	417	469	477	90570
IGF2	6279	5547	5458	5033	7153	2658	3216	1963	1999	1226	12127
RNF214	36556	26565	24835	22938	43375	61015	58883	31038	33439	30043	53821
CDK12	229590	184520	178273	157465	207619	311358	317476	172905	168621	111184	103397
DPEP2	0	0	0	35	0	0	0	2	48	0	13193
DUS2	33763	23511	27473	26465	33242	46122	46051	25274	27119	22013	91575
POP5	66637	44025	43997	42563	49712	59201	59097	33337	34739	31709	2635
ENGASE	55724	53191	50966	45477	64904	109022	112730	61003	62214	57769	13661
RBFOX3	27482	16665	18918	16390	149927	161543	157296	87549	86012	100823	426804
ATP5L	132337	103210	97808	104453	118832	177816	184143	107164	102644	89030	30343
CD3D	0	0	0	0	0	0	0	0	0	0	3791
TBC1D16	162152	146134	147055	125930	258593	369395	367415	212752	208129	155896	103506
TEPSIN	41344	32445	32099	30953	61566	82444	80943	47165	43152	45713	10815
MYO5B	46805	31697	34480	30307	29448	28849	32372	18500	18709	14488	372281
ART5	164	0	192	0	0	0	0	0	96	0	3814
ACAA2	88098	59625	62350	58371	73110	96341	103367	61290	61749	51251	31794
STIM1	154487	122586	121742	118507	272505	353299	350869	202883	205799	159094	238684
RRM1	158612	138449	139182	127019	55761	92717	95584	53634	54129	42752	44170
OR51E2	2493	1725	2277	1948	144	477	288	576	479	96	17684
TRIM68	48631	42907	45277	37618	41716	62060	64722	35834	33475	29554	9588
MMP26	0	0	0	0	0	0	0	0	0	0	287503
OR51I1	0	0	0	0	0	0	0	0	0	0	945
FN3K	39306	23279	27905	27967	25983	38461	39667	22945	22879	19929	15623
PRRT2	9261	11843	12622	8955	19195	29541	31111	18758	18481	13903	4511
ZNF23	22014	15820	15670	15708	25921	41723	46003	21016	23329	20645	15499
IRGQ	118257	92047	94097	79270	98341	172063	171837	90267	90289	78269	11767
ZNF226	44762	29444	30359	33019	51237	70654	80965	40464	44630	40399	13309
ZNF180	21958	16235	14806	14172	21902	28222	29715	17185	17181	15603	26097
PPP2R3B	34129	28153	24779	28130	46968	37150	34100	18663	20179	19733	52993
ZNF668	22927	21731	18760	17469	27467	32265	25834	18915	16772	15234	13478
ZNF646	78587	67752	67822	59408	81000	119718	121100	64918	67173	53629	9775
VKORC1	115435	82886	89559	81254	83386	137738	139267	74052	78767	74441	5139
GNG8	0	0	48	0	0	0	69	0	48	0	610
LPO	1927	1237	1195	1426	1232	1747	2665	1613	1451	1020	49971
CA4	0	280	96	191	144	96	192	251	288	309	20964
SMG8	59110	45880	42747	40738	72026	119365	117427	70015	72229	49163	5848
TPM4	978268	602690	629155	669574	464132	692265	701226	381626	401017	338880	35985
RAB8A	95315	67943	71065	70444	70830	96999	94763	51336	49350	49892	22606
GPX4	219503	163175	155525	153930	198084	279895	291438	145646	149239	153103	2866
MIDN	249039	194655	190484	180189	225117	326619	323518	173975	184773	171644	10588
JSRP1	75172	62764	66337	63907	80589	61343	57382	33639	35436	43211	17508
FAM129C	814	96	528	144	1571	1813	1276	1055	1492	843	30539
KLHL26	9101	7659	8041	6424	10081	17826	16712	8665	9727	7462	34750
GATAD2A	111450	97374	95697	85986	138794	142016	150067	79389	80265	73777	123106
