CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	width
LRP6	353528	224146	366455	343408	335226	344695	240178	232832	109660	132457	150988
GUCY2C	175289	186799	480819	241739	764795	768652	711428	495375	347575	504044	83954
SCT	2763	3621	1448	1631	4793	2664	1944	1985	2829	3737	713
PHRF1	436192	452232	406402	637802	549065	437864	437522	398891	307418	388527	35737
ELP1	237515	246997	222198	266683	294448	232770	167203	132852	70187	146053	66600
NUCB2	180398	231045	101506	232289	119837	188219	172727	174467	58804	104818	141822
PFN2	504851	126754	151893	162757	51261	245313	190464	130269	123927	91474	85885
PTPN3	424970	320773	467918	302203	612467	383350	261502	248049	188554	266270	122848
SPTB	17240	19124	41128	41719	30512	33642	37723	28462	17431	31947	133601
DAPP1	20709	69683	43720	59942	38549	40101	11844	23904	12070	33062	53322
FGF10	404	1427	381	404	383	15817	6627	7761	3809	3161	86163
SLC44A1	712185	573960	829601	750952	1121029	2068223	1237101	1177458	812781	1061020	194550
TMEM260	96033	86913	129170	106816	152257	192802	124321	84432	58606	86557	162253
SMG6	207126	221799	120387	296310	178834	323248	268532	256708	172300	211382	243933
EXOC5	229640	200144	206343	272968	236878	271257	153111	171191	91053	116756	68502
CLTCL1	28398	26178	14219	27035	16354	22390	19545	13597	5019	13660	112244
FGF22	284	278	2722	905	225	1697	782	1352	606	416	4493
FSTL3	282338	312550	192211	671112	646160	118598	53888	59489	41517	72196	7035
DGCR2	527497	653852	382776	713895	775429	1063000	1060615	1137600	883799	1274208	86173
RNF126	140311	211125	352078	240283	418850	215301	257720	256699	165797	317702	15752
MNT	198232	164137	130872	194465	180190	147246	124926	149708	81672	166943	17059
ZXDC	169521	120400	133424	230070	139519	128966	120043	96642	79694	126479	38319
JMJD6	131075	157368	137710	232201	162362	158720	132900	118927	72408	133773	13968
POLB	102311	75289	38350	123858	46473	52772	35693	24459	17741	42119	33355
ST6GALNAC1	235147	29657	593120	251794	683342	1129622	2482709	1103164	808414	1160565	19078
WIPI1	145617	200073	130870	209322	319230	286178	269062	271604	156984	191186	36566
FRMPD1	1469	2351	175	2392	3561	1701	1010	563	0	1789	95905
GBA2	637035	402895	299763	409363	435962	883139	811605	753418	532938	576053	12363
NDST1	589424	514405	622711	811752	693015	468225	300601	452636	378530	472245	72394
ASNS	173881	111624	29643	195584	103943	107850	72093	51016	28543	70085	20425
AP3M2	110296	89106	64973	160958	102061	89789	57874	41808	27982	53636	18728
CNGB1	59	405	141	762	120	10115	9066	3497	1630	5150	88777
ST6GALNAC2	4784	13387	12923	35658	13032	29445	21770	18053	15446	15201	21578
CHAT	0	0	0	303	2	11092	2782	5785	2067	997	56010
PABPC1	7097553	5412495	8474399	11429944	8349068	5339786	5023290	3591573	2435193	3641328	36994
TESK2	35395	49182	44628	43281	64411	82883	100578	97255	45630	73590	147284
CFAP20	187331	149439	144391	130072	161010	110287	98689	83992	41090	99265	15863
CSNK2A2	452830	343544	376374	326479	383220	303603	206234	199105	139107	261680	40014
PTPN21	83309	96623	76721	158431	105014	279827	245301	263126	142102	167323	88956
EIF2B3	119901	135923	59989	125339	126439	103935	69547	60018	28696	61187	136201
CAMK2A	1067	2209	2432	2454	1212	9760	6988	4580	4570	2950	70801
TCOF1	492548	284778	350491	513551	298878	234343	199392	136461	74624	241315	42670
CDC42	946246	1403334	706776	1401172	917033	1941767	1231461	1488668	952567	1121981	40320
OSBPL3	199451	184809	144465	308699	203821	117154	69579	90064	41067	70623	185096
EPHA8	3726	69	455	311	3060	73	0	446	0	331	40031
SLC12A3	159	6493	2264	795	191	628	24	202	404	0	50644
RAD18	100319	77082	111486	106489	67471	69183	42766	39149	23325	48928	188372
ATP2B1	298420	247271	260444	299261	242504	639883	398642	581205	250382	320787	121252
TRPM5	6972	1523	26312	13003	10039	70417	60376	43472	27574	14053	18531
NCK2	293400	436017	478968	574845	474935	423693	408311	486356	343158	419867	149378
MAP4K4	702594	868561	634393	1511770	599589	460822	332591	338224	150207	334825	197840
MGAT4A	415118	259935	252917	278655	273205	983216	460738	668609	505209	476117	112021
RPL31	4105795	3413667	3779930	3816432	5912871	3790602	3995748	2330949	1597048	2872781	22318
WDR1	1961926	2631222	1160571	2334146	1961370	3972086	2139757	2974478	1796511	2154358	42611
SNX13	289990	189634	262264	243304	192046	347065	233672	305095	173361	193673	149741
MS4A12	24941	11281	6826	5170	4115	3982433	463843	2537815	1973480	1925537	14653
ARHGAP10	39186	57100	52710	83468	50052	53897	33906	34982	19117	19838	340718
RPS6KA2	65958	215952	78868	257301	178149	190187	106322	144865	80703	86204	497088
ING3	92741	69248	61455	62547	74564	90161	56114	64143	34746	61160	26468
VASH1	274060	451995	210071	584368	403569	170339	102599	146956	60805	134890	20827
LMCD1	82546	147396	64672	179871	139655	59085	30705	32464	20623	34311	72967
BUD23	679027	467432	540799	516062	446822	405097	383813	310486	195267	569084	22137
SEL1L	605270	852462	691842	845099	825479	1229843	696235	861662	453348	427672	62313
TRIP13	124384	71715	65452	92364	51558	26407	18240	21000	6899	32077	26715
ATP6AP1	630904	828691	619897	899025	802341	804404	883943	684574	503192	1150669	7885
TCF3	228912	486307	550315	724765	544842	433379	485188	442662	307380	631461	43316
TRIB2	95930	167036	53097	214717	118155	106231	68730	79653	41160	69552	25846
DAZAP1	573026	561537	595698	924674	562004	632240	557214	546476	319586	705840	28119
MBD3	268278	366634	316074	631377	338683	378393	353611	386625	286832	560680	19206
PRLH	0	0	0	0	0	0	0	0	0	195	602
HLTF	266137	178059	108093	138089	85546	96417	59899	54145	35020	31377	56428
FAM50A	314488	415159	195885	447570	309728	365197	302178	298344	189288	500117	6529
FAM3A	235377	242087	223902	285401	190277	309598	311226	251459	227875	499774	10084
CPSF1	927190	492657	649872	848159	731143	623023	788083	641950	400576	698825	16121
MYO3B	1731	2822	1575	3862	3107	684	603	923	427	2744	477027
CYBRD1	140323	496643	109535	280249	247713	1330995	350125	473758	539506	314540	35887
CDH19	4715	22245	9343	7973	10706	53626	16403	16019	10961	4068	103056
PDCD2	229989	198639	96722	257404	265322	244624	151323	130754	85433	183597	9398
SLC6A15	0	37	0	0	0	4232	2636	2261	1409	101	54128
RDH11	386929	305019	379260	487407	356478	252333	143325	183342	86951	208669	19014
PRKACA	326692	313830	306068	402092	354573	362577	307676	287306	175186	336518	26397
ADGRL1	365556	163127	339040	245446	136657	147105	171101	203769	101286	184706	58445
SPP2	360405	255770	270337	246512	175232	622	0	1022	32	401	26456
ACTN1	1553858	1557787	1381813	2722275	2502346	928710	685774	686801	418708	696521	105298
ZFYVE26	145905	230905	207398	224239	196134	229852	173905	183622	110826	128097	89217
RPS6KA6	52350	16172	34179	22867	24965	116882	70737	76935	52729	66522	129562
EPN2	189409	120288	115642	195394	134438	231126	178273	193857	98692	143959	121101
PTPN18	289242	389545	277764	388178	427555	715105	666862	647004	363197	680459	19403
LIMS2	77112	72808	70248	114514	68837	104580	87936	100629	58821	101098	43406
ASIC4	374	431	128	665	1344	1174	1366	327	433	243	24603
SPEG	30270	16424	5411	56313	12872	87009	79264	83501	43285	35684	63442
LNX1	72016	92381	73479	115971	128929	144237	128282	103253	91758	111967	242105
ALDH3A2	1103299	533976	940715	750719	447446	832805	445495	514585	384224	349124	29463
TFRC	1477845	809717	1211393	1674818	1344226	2151367	798959	727717	965655	904101	55007
SREBF1	549780	491535	631717	746734	883925	447094	594107	533685	401382	741121	26604
TRPC5	1251	1208	2060	1111	1503	0	0	0	0	0	308462
AFF4	429884	480893	440900	431589	720367	683206	381022	445611	249023	295566	88256
UBE2D1	113782	130402	85440	144512	139758	150896	74932	78295	48669	96607	35779
MPP5	179807	140920	246195	205052	186122	389925	227163	282252	201209	180022	94711
RHOBTB1	70696	207341	57221	154851	71329	58883	53951	61949	24429	67021	132003
SMC1A	1067080	1095251	586277	1089099	681130	871844	482325	495700	227656	574799	48580
HSD17B10	410897	429484	407535	648730	478579	249213	255382	209060	120117	599952	3116
MARK2	363245	385417	381065	405426	455602	770447	597441	639256	437942	668010	72092
HMMR	128634	77218	67004	78525	40092	37250	25071	30398	10917	40488	31743
CHFR	180211	184275	166825	255635	154500	295685	209437	247584	169047	211785	134118
TRHDE	5487	4897	30393	5509	6372	40229	19961	37625	23051	13248	583492
P4HA2	162041	170872	259015	332027	441589	430971	272372	356218	188518	513178	103478
FCGR2B	60071	168886	82136	138233	165205	128008	51175	59416	19250	33945	15508
NFATC3	391704	291553	296132	271675	265764	323514	218165	195121	139937	261025	144509
TRNT1	136579	116436	108354	126659	150846	155352	87215	70970	37368	65509	23964
ACADVL	4126075	3581470	2248498	4242381	3968955	3397248	3564086	3107901	1941488	2351537	8149
STK10	122107	366933	206143	364280	380902	334635	234572	270254	171708	284437	146314
FBXW11	200749	223283	190187	239018	292918	269914	172521	175403	108800	160874	145325
ACAP1	75353	162308	32943	84347	70301	121896	104775	132848	82995	106705	14950
CRMP1	12077	38914	8508	40850	19147	36936	29691	32487	10870	25146	144975
EVC	37690	128504	45221	97087	86977	86471	53392	61798	29660	26926	103109
DERL2	170140	118225	72509	162574	119290	191332	104030	121716	76830	123347	15561
SIDT1	105033	62950	43902	44208	47375	190730	201040	82091	77948	134446	97283
NDE1	222080	268696	159706	271235	311567	400169	269437	338744	181107	191647	83087
MRVI1	38193	99007	23756	101512	94684	189015	114807	160100	69360	79882	120898
TMEM38A	28125	31302	27704	23477	15611	29696	37695	26198	20110	17495	28903
AP1M1	225392	230304	156450	323001	236935	152428	94842	125413	78893	151588	48330
PVR	409447	306181	386749	548549	565647	240325	227872	183651	107139	316518	19786
XRCC1	201929	185503	159033	242503	191064	143792	135107	122198	81732	225559	37434
SCARB1	678789	507129	681112	1000618	765155	409689	319552	366914	262758	870229	105813
CYP2W1	884689	61352	120479	46869	1804430	6897	58845	13478	4644	74006	6442
MCM2	682330	359149	280769	683069	185415	211710	147562	155161	60144	253374	24214
MOV10L1	2127	1044	5444	2434	0	404	200	404	340	1437	71812
PANX2	23234	24358	59405	40199	10300	1003	1309	1601	701	663	9564
SELENOO	202321	126160	135536	210767	180748	137704	144197	120035	91995	182710	16638
TP63	883	5283	1347	5454	529	1441	1008	1517	1411	1544	265864
ALPK1	86105	97786	61789	108581	109902	146803	83134	93392	53114	76440	157112
LLGL2	662522	734660	1033012	1524495	1472540	2068255	1884176	1933083	1402465	1934301	50129
PDE8A	260701	206684	302403	284423	260721	595384	422585	544641	232869	299978	158706
CLCN4	28529	83224	63092	123519	69291	17314	9824	15064	10546	12060	80716
NLE1	143008	77834	86292	224587	201236	88837	81689	59357	40423	83401	13563
SDHA	1305237	1142849	1095959	981243	1136162	2510459	1789188	1739042	1394008	1352925	38460
SMARCE1	750499	510907	457852	993192	502974	629630	495963	391062	238569	429670	23547
FNDC8	2235	2315	843	4901	4719	3445	3169	1947	1288	3103	9154
GSDMB	277432	163297	165485	413129	123297	761453	498988	636140	476924	670293	15260
KDM5A	333950	363048	360400	514289	416562	495849	339638	336372	189621	229869	109326
ADAM11	2258	1357	3673	2553	638	2675	3402	3426	1559	1061	22816
PPP2R3A	27968	29996	9433	46282	32024	158347	91906	114340	71250	100397	182219
FERMT2	225895	285890	311094	328385	233480	186873	81142	99550	42500	53776	95168
ABCB11	214494	94314	372583	105555	157164	63305	6668	82551	11550	31179	108385
DHRS9	15722	31512	16732	20395	52069	1157409	181611	435444	290692	232881	31379
CD5L	68365	450599	312296	169748	223428	794	494	1481	587	1050	67343
PTGS2	32782	45749	9457	235535	19097	33858	14470	32617	19271	23540	8637
IGF2BP2	560646	194936	312740	277059	373453	306201	317582	216232	160107	241500	181318
MAP3K13	182201	157682	208283	238545	162405	274193	182421	181969	112816	194857	206157
ST6GAL1	3726845	2490241	2469622	2430721	3682948	686190	920205	467047	205560	444283	148069
TBX21	9984	16340	8147	11200	6572	16143	8856	14603	9977	12022	12876
FRY	71382	108356	63913	111650	199703	97330	64731	63241	30082	36486	267823
PICALM	897102	964927	730161	1003203	951575	1085595	578916	631187	412919	514975	112199
NSF	411038	309226	334196	565035	280768	664008	313053	317160	199314	326027	166796
GLI2	16160	45970	7941	51626	35788	34284	18287	32434	12459	15951	257031
CLASP1	263815	241779	211866	294572	197681	202580	146351	146395	83710	145195	311812
MRPS34	432059	298180	315935	261234	311946	399620	314995	260468	201927	507239	1266
NOTCH3	221805	493430	176618	1109620	785360	366252	208449	216403	129798	207880	41944
CLNS1A	559969	361994	449683	414873	532992	365217	277140	251204	168143	259615	122870
PPP2R2C	0	6384	1353	11996	13061	9673	5463	5181	2072	5697	243023
TEAD2	216558	127059	44625	409755	134252	98765	94201	76526	39483	126983	21863
EED	147813	138182	107118	140637	114948	156780	116968	92959	67492	95655	34270
CDHR2	351168	269589	385898	231128	456120	1019945	378064	684624	529409	628092	53464
SNCB	0	101	0	290	988	782	830	432	240	198	10473
TSG101	343187	295985	281407	389164	426001	371382	252344	260429	190907	377131	58897
NCBP3	320280	204919	174922	288181	170822	357119	308647	296455	153531	189845	44087
ATP2A3	366125	658587	425235	546070	568094	1504636	2641818	2144830	1346197	1518995	40595
CA12	293913	118763	1007680	149519	1430843	2702851	2506848	2673294	2148126	1938912	60784
MGLL	467883	722472	657352	664268	1296129	2425753	1568047	2349266	1588482	1711208	134189
NTN4	157586	132183	183052	106818	144136	232614	188150	177033	88287	102592	133346
BCS1L	194945	159497	133960	159424	188039	148478	162894	117824	68086	135324	4680
NUAK1	98107	172393	71440	146191	86703	107463	52594	58952	35452	54480	76694
DPP8	153880	131283	194393	220552	212043	340982	201525	189166	113198	120888	75242
SLC24A1	71737	74781	80960	121685	82866	86523	68018	65880	35779	45245	49630
ZNF532	94960	214610	64911	465096	190030	139105	83462	92544	43682	61059	123881
SCARF1	81862	104659	64419	158536	80982	100546	91918	65019	54446	67722	11890
LMAN1	658413	718188	546489	892180	800284	643087	487009	363227	251006	216089	32140
HACD3	784654	506216	750589	983840	625919	446054	297630	221524	117198	231247	47935
IPCEF1	10585	30275	11685	12184	11741	30289	17545	18602	9425	13264	202297
ZZEF1	456408	423055	338709	394363	356341	1352317	1002582	1195033	874729	964107	138576
NOX3	0	0	1	0	0	200	0	0	0	25	60534
ENO1	4708846	5121497	2586041	6877571	3821283	3927047	2455682	2538133	1509072	3128329	18248
SLC12A1	303	4251	274	615	295	528	175	186	315	981	112415
MYDGF	393227	669355	458547	663220	799040	641897	485808	497587	296002	638581	28997
ANO8	63861	80350	57171	131864	62739	72177	72322	76743	56540	75261	11607
TUBE1	92465	84211	70750	74282	92721	70731	38965	33333	21777	35759	16753
ARHGEF10L	479684	532804	431760	620248	774670	788654	1083854	630208	543345	663099	158040
TXK	3248	6650	3745	4709	4317	11315	4073	5052	3984	3688	67864
WSCD2	202	1830	202	1042	1397	12625	3249	3028	1381	1820	121067
KCNQ2	0	0	39	500	495	1766	2046	1713	227	1230	72468
TACR2	4044	2614	606	1816	2299	4576	8488	5669	4458	2826	12965
ACTR6	131055	80837	100773	119308	96869	113411	79727	75292	46754	79683	42744
TIPIN	40442	27443	21798	55935	22409	26833	16660	14956	5148	13593	50541
SRI	839947	303800	539760	581889	885766	2450093	1502139	2044714	1790368	2172691	21876
EIF4G3	482476	596931	223534	489687	348351	771373	502789	536211	272500	342410	370597
NUP37	140394	71681	76939	139512	97732	84455	53691	56516	25490	84512	47022
SEMA3A	72421	57795	46303	28561	38270	45382	20766	27263	14149	17888	536948
GTSE1	117566	86341	48723	116077	33365	30882	28257	32870	12664	48047	34070
SEMA3C	308930	358856	402806	194635	456302	530703	300603	268689	154425	364356	179822
TTC38	625379	490544	612067	450419	616538	852954	576490	636405	461385	544475	26048
ACAT1	1641953	1452846	901873	1279765	1039002	826325	621086	667066	503756	591523	26261
GRAMD4	630286	327499	204828	382321	736361	929988	716952	874628	553845	581531	103779
CELSR1	189046	169082	43366	385544	554127	36441	85896	29570	15851	81616	176337
WNT8B	4922	202	601	604	539	750	0	0	202	488	20704
ZNF638	461241	425585	371334	541298	415720	561735	399166	314128	168827	286319	158509
SLC25A40	111311	93386	94931	86206	61968	108650	82213	85180	48747	64891	42790
TIMM21	79656	84105	65617	111794	74348	136438	109543	91348	59964	84934	12020
ADD2	11356	7463	1597	3794	2924	11363	5286	4017	1412	2700	160608
FGF4	2	0	0	0	0	606	0	229	0	235	4388
RASAL2	183097	182509	276951	317765	237352	195172	110152	97387	58348	108440	390007
VPS9D1	102737	96078	87279	104799	68121	91167	102694	111070	87027	142475	13853
ZNF37A	102472	130864	93365	159619	130392	161447	93524	82031	54265	89843	55960
MARK3	222190	232381	237180	314080	297757	356703	244354	229391	144806	188692	118440
SLC25A3	1875858	1297026	1430315	2037578	1669625	2204779	1396983	1602420	955450	1550217	12789
FNDC3B	607425	645079	430751	828376	626863	803903	339289	406133	202646	386857	362038
FOSL2	258128	885037	546443	1313935	1202014	1103061	813054	1616961	869966	1220993	24865
CACNG5	0	606	202	0	0	103	0	202	0	0	50370
CACNG4	1907	21456	1124	115680	9689	1816	2075	804	403	358	68489
FRYL	740115	470041	244776	413648	656268	1386035	1014426	834404	587750	526266	282962
TMEM131	282949	322932	249383	346189	300271	698505	604813	599841	415802	412045	239559
FSCN1	149324	259037	162906	431707	621492	158489	64947	88301	73550	155542	13833
ACTB	16258838	18304708	11404486	30326674	22776773	21093699	11804419	17865419	10747420	22373311	36634
MOCOS	132314	82375	75447	244974	138242	83412	32135	51884	40670	52532	84639
PLD1	110689	146824	152655	174730	272657	371963	238585	311236	222227	192796	210546
ATP12A	76623	1300	2714	223	0	2642	2344	237	706	1411	32083
WDR62	60337	35504	57793	68437	18209	19965	15076	18802	5340	44876	50226
DLG1	553584	358673	358253	558267	333155	611390	390469	426291	223004	341920	256741
RAB7A	1903437	1721628	1516196	2385813	1676403	1768707	1344537	1580054	922401	1650299	88675
BCAP29	186527	165860	141786	175868	143488	199713	185203	149868	69006	143302	49194
SEC31B	74135	66082	48267	50169	44919	101943	125571	71309	42467	62441	33223
SART3	404903	351858	410533	472003	465983	411509	300642	281490	175849	277311	38821
ARHGAP15	26108	66101	21929	31120	26199	50044	27370	38588	19985	19625	676991
TUBA3D	3938	803	3077	1772	1181	882	1009	1648	581	853	6842
PAX2	2	250	871	276	405	56	61	867	234	275	94339
EXOSC7	209817	193298	143917	218046	234027	569178	240155	165276	108635	201918	60826
KIFAP3	169828	119883	79977	167513	128693	289067	132364	210250	144621	144369	163883
MKRN2	122599	181024	161518	161015	234364	197193	165078	130248	85005	94452	26700
MCM6	422055	276335	245832	421051	183617	258075	115963	129928	61038	118111	36801
REXO2	273315	353110	144146	266392	449114	253861	172243	165699	84271	220778	10894
RBM7	187790	222886	137074	174901	253643	213300	158246	171573	111293	168608	14174
RBMS2	102719	156330	70654	192084	250718	236384	148333	171659	92644	200581	74268
BAZ2A	769739	709902	646206	827259	896686	987694	902457	854148	506690	622786	41221
PTPN23	253654	322508	190548	372478	412549	309448	346093	305438	214349	315303	32431
MLH1	186284	165865	96643	173330	130403	179298	116264	104891	52862	81938	57587
UNG	399545	199832	203706	401900	246132	328891	222120	194090	143497	233793	13419
FMO4	67417	61116	106677	62556	31092	50096	32019	47613	29273	38655	27877
KLHL20	93086	111904	100486	136850	113156	143622	93236	101873	62662	68908	71762
RGS11	6907	21042	31532	24773	67239	48952	113011	44475	52975	73111	7680
SLC46A1	359328	373596	327005	367733	291363	228909	229529	178053	67325	210937	12442
PLXNA2	392457	193622	353918	427639	374436	758724	678767	715038	552060	737714	222079
SPAG5	291928	140300	91317	270596	84947	85580	66890	61368	25018	97293	21715
ANKRD13A	251447	264361	273152	267829	199843	457512	338777	353570	200597	248402	40578
TPD52	627342	453571	530807	1078225	617042	1375339	977416	868850	584018	926921	196488
ACACB	320087	285432	347387	306113	384724	350686	376526	308695	253403	251418	151632
TRAF4	378771	301581	234242	614391	518069	322830	469566	470121	366281	592172	6975
PAG1	193521	224288	161031	202502	169659	397997	368165	421707	307378	298500	144259
GPATCH1	87743	68934	72379	79912	59283	84940	79995	62524	42331	59176	49663
ICAM3	117448	256885	121081	152515	183393	200561	180800	210598	147964	239609	6048
NT5C2	382966	430964	419212	486882	454191	697825	397687	361591	285739	351722	105290
MCAM	275190	391618	250795	903081	347785	784092	358911	322071	194912	387617	12993
GPC4	50537	258416	326234	284292	329419	234997	147540	220941	132471	270208	115388
MBNL3	308838	220787	393308	224009	193357	258486	204515	158746	123453	116875	120652
CAMSAP3	319297	186583	334605	248231	297595	338650	330592	405822	293707	514310	22403
RAP1GAP	206393	200511	91025	171796	160213	259948	449305	231783	181646	139565	73149
XAB2	306902	245180	326731	267394	363627	252661	282485	224532	168291	347098	10041
ARHGEF1	661896	612777	541387	1014375	1091170	563305	667839	621216	411456	783036	46990
STXBP2	540042	404024	439514	488472	481363	718904	742988	705968	503218	1026138	10993
MAP2K7	239034	198737	229265	257793	268172	292689	290691	266378	182277	290165	10636
NMRK2	0	44	202	0	252	661	404	202	0	0	9314
DGKD	418749	350199	343757	369428	324941	388779	545220	497099	338876	437358	117598
CTTNBP2	123542	65029	38371	23926	26978	33998	24579	25782	10183	20844	163489
ACTL6B	175	0	309	182	51	909	1431	26	0	530	13365
RARB	19438	45568	20443	49416	39190	15961	4942	9740	7221	6583	423601
TOP2B	817580	733163	396723	924234	676132	812578	633148	491376	264086	379573	67003
TM9SF3	2173135	1291783	1691451	1935899	2095565	2430754	1739510	1528993	939476	1474200	69344
NFKB2	317774	490678	207620	586247	477880	330704	205426	288497	140650	262201	8420
UBE2T	128748	72111	60220	124133	35691	35441	18659	17913	5518	53705	10324
PPP1R12B	278691	252672	122349	364924	170164	538334	558870	355177	140136	358077	244008
DNAJC10	565396	556887	264323	742574	523069	492418	315184	281979	112716	298114	78424
GTF3C1	587285	477728	358857	477159	414239	492244	420699	376831	246811	506984	90359
IL4R	408151	602197	383507	707570	850892	881887	664487	733166	491252	814751	51111
USP33	232866	297650	164763	257573	268644	447141	259011	253965	139844	173070	63866
PAK3	1463	3582	1328	1297	2191	14365	3802	6622	1933	1285	283077
CAPN6	2754	8487	3557	3679	85530	31025	26578	21283	13623	20335	25421
DCX	202	0	170	855	0	325	214	109	232	64	118651
SNRPA	208269	168561	169230	254316	187413	170774	195013	165693	82566	222894	14753
SPAG6	0	358	202	259	500	808	0	202	201	0	108780
EXOSC5	167059	98942	136749	172827	159413	82368	76263	66353	42744	124008	11106
DYNC1I2	412774	472371	360398	654232	520449	648684	373948	415814	221018	379254	61012
APBB1IP	83925	178888	64878	137709	179855	86161	45033	71623	40054	41298	129601
LRCH4	254500	286933	303559	275809	334610	276517	391464	360896	212331	485069	12143
FAM76B	108807	69708	50953	87201	74513	68941	71698	69234	39546	49700	21468
SIRT6	69761	133139	139745	141879	260323	348416	394379	395427	270458	543807	8496
TYR	0	0	0	0	2	0	0	0	0	0	118308
POLD3	129331	122689	86547	111621	75942	141791	93554	79342	45905	101303	175267
ACTN2	2298	1947	1614	2540	2063	2488	1099	1038	1174	580	78178
CAPZB	729036	1227332	561978	1236443	809278	1550818	1103902	1287442	779366	1148115	146764
GPR137B	47706	99820	60873	142749	94647	51373	28602	47558	26351	38304	79361
NAALAD2	3484	5477	4211	3227	2576	9093	9054	3166	2721	4035	61380
JADE1	154053	157692	91239	119474	175579	184592	93734	93151	52393	58495	65602
SLC25A43	192050	156043	153919	184943	143781	203809	149364	165378	120427	173594	55419
UBE2A	358865	325285	250850	375650	283057	507372	231236	320128	228066	399303	16617
FGFR1	71702	188193	66416	132762	146972	350769	208024	194827	101866	146040	57697
FKBP6	573	245	934	583	508	828	2549	1286	603	945	30474
SMC1B	1095	609	5	204	128	349	22	417	193	478	69557
FBLN1	127653	469483	60710	130705	80900	2503515	1325608	1135812	711514	703444	98898
ITGA8	12303	41282	16689	43666	24704	139265	75899	130872	43658	44135	206177
CST7	20132	55757	9803	71127	21065	23649	18517	26283	15835	28239	10699
MAP2	29051	30751	18120	34419	24960	36502	18792	10870	6394	9107	310061
PIAS2	58140	75224	60105	88485	60122	103716	91808	66767	39993	50741	116937
AMPH	1834	6851	1928	3512	2705	18648	8050	14426	5292	5567	247864
ARAF	357629	346450	316577	487163	370211	383963	462173	411031	310235	670846	10821
MCCC1	170209	201747	231963	292275	201834	246182	225886	146013	137395	156694	100858
LAMP3	39955	98859	24022	55498	28497	54261	11051	12501	6730	27664	41627
FAP	39970	194051	49311	179125	95909	5316	4365	3223	1320	7595	74468
NEBL	557841	292859	246404	770144	887253	99248	123563	52851	20297	122753	394215
ACER3	105943	120230	71562	105283	105294	285225	117238	148371	97922	143407	165931
UBE2K	442146	473425	309442	484373	293968	554043	420009	396034	226993	292197	84749
PIK3C3	98574	140796	119793	152699	135473	218254	157753	147912	96438	116681	132625
N4BP2	91455	62015	80547	80914	53127	109008	55434	70792	33969	32697	101427
TIGAR	71356	75727	66805	149597	135790	84458	38809	51591	32945	62877	46831
TULP3	128675	109406	103541	220359	99025	81335	73044	70508	39776	71309	63918
SYNJ2	294261	300039	312503	361341	392310	296184	308414	230094	146652	186799	117290
ADCY2	732	1210	100	304	1137	16348	5566	9689	5089	4043	433874
PPP2R5C	357495	397119	593932	450978	873356	605067	454444	412315	274501	331921	166192
RBFOX1	40	2057	91	361	597	4584	7778	3648	4060	2544	2473537
GNB1	1253928	2091472	860659	1879455	2227248	2147794	1560690	1657252	994548	1243689	105833
HOXA9	975	218607	800	238198	93075	133019	130050	109350	100340	212611	12746
EDN1	25656	73276	55489	157135	480201	93625	109811	113607	77172	122526	6832
MLLT10	179435	166538	225545	312919	183557	171772	135804	124957	65358	80620	218956
ZCWPW1	42894	31603	36505	27360	25535	23120	24685	20871	15756	31203	28167
ADCYAP1R1	1010	2563	898	5493	3315	18351	12662	6185	3111	5762	59019
FGF20	0	0	27	401	0	228	233	0	23	1860	10013
P2RY10	8307	30276	6597	11488	4722	19701	12279	23215	7636	8597	16623
ITM2A	40535	77642	30676	56878	37189	217616	142467	119563	71473	75994	7284
NRDC	570141	695379	407240	672439	613381	641485	417473	419089	267411	371749	89747
VDAC3	655236	502017	477767	796250	430546	649337	485523	427844	278596	493617	14274
PCM1	406737	627281	364986	966730	597365	562465	458684	420340	220182	255304	107105
TNRC6C	98243	107961	167362	176402	99639	120714	109273	98772	65259	84040	149596
CBFA2T2	299633	270019	179873	242589	249045	224956	250969	214210	152829	225601	159962
BRINP1	3344	5066	2819	2571	3324	3355	605	2106	673	605	216010
ITCH	601768	453445	466059	380320	522492	462877	293657	345143	184443	262901	148159
PKD2L2	14620	16081	12148	17419	16804	23943	14267	11235	7142	10878	54780
TP53INP2	233738	187780	105944	288691	281663	1091986	780010	1232382	772968	1276660	9150
SDF4	856759	1121927	712667	1217688	1161646	1550513	1380319	1421487	1055651	1369163	15124
MYH7B	15852	11447	15104	23075	14790	12581	20691	20943	10929	144853	27035
BPIFB2	0	807	202	95	5134	0	0	0	30	184	16110
TP73	25590	39895	4383	12039	5420	4569	5225	5132	3848	6669	83682
TOLLIP	478273	535724	475619	586557	594291	411600	388270	387964	291800	417917	35284
UBE2D4	94181	76360	85945	134497	62649	87623	50037	42394	34771	55601	29699
CLUL1	505	563	525	1135	1590	832	630	763	160	634	53347
RUNX1T1	11054	32729	6736	22528	12352	43960	21099	27293	14164	10350	148320
CDH17	4733849	1556738	1636591	1563601	2538450	6513851	3907843	3339029	3491558	4206234	90133
THOC1	89862	74582	50766	97968	58897	105783	84895	54131	35659	59481	53531
FKBP7	37441	64010	15865	55945	45116	36980	18202	16448	11771	16665	14937
OSBPL6	17955	15717	26872	18197	16196	21052	8053	10912	7475	8112	208411
SLC1A3	32995	122145	34345	79759	140100	8383	3073	3441	4269	3316	81980
